id,name,cost,tag,atk,hp,copies,cost_color,cost_generic,element,art,desc,image,rarity,budget_p,verdict,note
CR050,스킬라,5,normal,3,3,0,2,3,water,sword,소환 시 1/4 수호 여왕의 가신 2개체를 양옆에 소환,,rare,9,적정,
CR051,폭풍의 정령,5,fly,2,4,0,2,3,water,wings,환류 · 밀물,,uncommon,12,적정,
CR052,여왕의 가신,2,guard,1,4,0,1,1,water,shield,—,,common,10,적정,
CR053,크라켄,6,normal,7,9,0,3,3,water,sword,소환 시 이 카드보다 비용이 낮은 모든 크리처를 양쪽 손으로,,rare,23,적정,
CR054,시 서펜트,7,guard,6,14,0,3,4,water,shield,내 턴 종료마다 비용이 가장 낮은 상대 크리처 1개체를 손으로,,legendary,40,적정,
CR055,가시넝쿨,1,normal,0,3,2,1,0,nature,arrow,성장 2,assets/art/CR05.png,common,3,적정,
CR056,묘목,2,normal,1,4,1,1,1,nature,star,성장 4,assets/art/CR03.png,common,7,-1,
CR057,번식체,2,normal,1,2,2,1,1,nature,star,증식,,common,4,적정,
CR058,새싹,2,normal,2,1,0,1,1,nature,sword,—,,common,8,-3,
CR059,숲지기,3,guard,2,5,2,1,2,nature,shield,—,,common,14,적정,
CR060,그리핀,3,fly,2,4,1,1,2,nature,griffin,—,assets/art/CR08.png,common,12,적정,
CR061,고목,4,normal,3,11,1,2,2,nature,wall,성장 4,assets/art/CR06.png,uncommon,18,-1,
CR062,포자군체,4,normal,4,3,1,2,2,nature,burst,증식,,uncommon,11,적정,
CR063,대수호자,5,guard,4,12,1,2,3,nature,shield,—,,rare,32,적정,
CR064,덩굴군주,5,pierce,7,4,1,2,3,nature,spear,성장 3,assets/art/CR07.png,rare,25,적정,
CR065,숲의 여왕,5,normal,7,6,1,2,3,nature,banner,소환 시 내 크리처 전체 +1/+1,assets/art/CR11.png,uncommon,20,적정,
CR066,세계수,6,normal,14,12,1,3,3,nature,awaken,성장 4,,legendary,41,-1,
CR067,파수병,1,guard,0,3,2,1,0,steel,shield,—,assets/art/CR01.png,common,6,적정,
CR068,방벽병,2,guard,1,4,2,1,1,steel,wall,—,assets/art/CR03.png,common,10,적정,
CR069,검사,2,normal,2,4,1,1,1,steel,sword,—,assets/art/CR04.png,common,8,적정,
CR070,연마병,3,normal,3,1,2,1,2,steel,sword,연마,assets/art/CR04.png,common,7,적정,
CR071,강철수호,3,guard,1,4,1,1,2,steel,shield,경화 1,,common,10,적정,
CR072,중장병,4,guard,2,7,1,2,2,steel,helmet,경화 1,assets/art/CR09.png,uncommon,18,적정,
CR073,기사,4,normal,7,6,1,2,2,steel,helmet,—,assets/art/CR09.png,uncommon,20,적정,
CR074,파쇄병,5,pierce,6,7,1,2,3,steel,axe,경화 1,assets/art/CR12.png,rare,25,적정,
CR075,요새병,5,guard,1,11,1,2,3,steel,wall,경화 2,assets/art/CR06.png,rare,24,적정,
CR076,단조장인,5,normal,7,7,1,2,3,steel,sword,연마,,uncommon,21,적정,
CR077,철벽,6,guard,5,15,1,3,3,steel,wall,경화 2,assets/art/CR06.png,legendary,40,적정,
CR078,조립 병기,4,guard,3,7,0,2,2,steel,shield,—,,common,20,적정,
CR079,돌덩이,1,guard,0,3,2,1,0,earth,wall,—,assets/art/CR01.png,common,6,적정,
CR080,가시병,2,pierce,2,2,2,1,1,earth,spear,—,assets/art/CR07.png,common,8,적정,
CR081,채석공,2,normal,2,1,1,1,1,earth,axe,진형,,common,5,적정,
CR082,석벽,3,guard,1,6,2,1,2,earth,wall,—,assets/art/CR06.png,common,14,적정,
CR083,창병,3,normal,4,4,1,1,2,earth,spear,—,assets/art/CR07.png,common,12,적정,
CR084,성문지기,4,guard,2,7,1,2,2,earth,shield,진형,,uncommon,19,-1,
CR085,돌파병,4,pierce,6,7,1,2,2,earth,spear,육중,assets/art/CR07.png,uncommon,25,적정,
CR086,장군,5,normal,13,11,1,2,3,earth,banner,육중,assets/art/CR11.png,rare,37,적정,
CR087,공성탑,5,guard,4,10,1,2,3,earth,wall,진형,assets/art/CR11.png,rare,29,-1,
CR088,지진술사,5,pierce,5,7,1,2,3,earth,burst,소환 시 슬롯 1~3에 각각 2 피해,,uncommon,22,적정,
CR089,공성귀,6,pierce,15,10,1,3,3,earth,axe,육중,assets/art/CR12.png,legendary,56,-1,
CR090,망령,1,normal,2,2,2,1,0,dark,wings,제물 4,,common,6,적정,
CR091,피의광신도,2,normal,4,3,2,1,1,dark,axe,제물 6,,common,11,적정,
CR092,흡혈박쥐,2,fly,1,3,1,1,1,dark,wings,흡혈,assets/art/CR02.png,common,7,적정,
CR093,흑기사,3,pierce,4,3,2,1,2,dark,helmet,제물 6,assets/art/CR09.png,common,15,적정,
CR094,흡혈귀,3,normal,2,7,1,1,2,dark,exec,흡혈,,common,11,적정,
CR095,그림자 습격자,4,fly,4,7,1,2,2,dark,wings,제물 6,,uncommon,23,적정,
CR096,시체 수확자,4,normal,9,6,1,2,2,dark,axe,제물 8,assets/art/CR12.png,uncommon,24,적정,
CR097,피의 군주,5,normal,9,10,1,2,3,dark,banner,흡혈 · 제물 8,assets/art/CR11.png,rare,28,적정,
CR098,어둠의 수호,5,guard,4,14,1,2,3,dark,shield,제물 8,,rare,36,적정,
CR099,심연의 사제,5,normal,8,9,1,2,3,dark,awaken,제물 6 · 흡혈,,uncommon,25,적정,
CR100,파괴자,6,normal,16,13,1,3,3,dark,axe,—,assets/art/CR12.png,legendary,45,적정,
CR101,부름의 망령,2,normal,2,4,0,1,1,dark,sword,—,,common,8,적정,
CR102,망자,3,normal,3,6,0,1,2,dark,sword,—,,common,12,적정,
CR103,빛의 시종,1,normal,0,2,2,1,0,light,star,축복 4,,common,2,적정,
CR104,성전사,2,guard,1,4,2,1,1,light,shield,—,assets/art/CR01.png,common,10,적정,
CR105,사제,2,normal,1,2,1,1,1,light,star,축복 8,,common,4,적정,
CR106,치유사,3,normal,2,4,2,1,2,light,star,축복 8,,common,8,적정,
CR107,빛의 매,3,fly,2,4,1,1,2,light,hawk,—,assets/art/CR02.png,common,12,적정,
CR108,수호천사,4,guard,1,7,1,2,2,light,wings,가호,,uncommon,17,-1,
CR109,성직기사,4,normal,5,6,1,2,2,light,helmet,축복 8,assets/art/CR09.png,uncommon,16,적정,
CR110,천공수호,5,flyguard,4,8,1,2,3,light,wings,—,,rare,32,적정,
CR111,성기사,5,flyguard,4,6,1,2,3,light,wings,축복 8,,rare,28,적정,
CR112,심판자,5,pierce,5,6,1,2,3,light,sword,가호,assets/art/CR04.png,uncommon,21,적정,
CR113,대천사,6,fly,8,7,1,3,3,light,awaken,가호,,legendary,40,-1,
