element,kind,name,cost,cost_color,cost_generic,tag,atk,hp,copies,rule,budget,spent,verdict
fire,spell,불의 군단,4,2,2,소환,,,1,3/4 화염정령 2개체를 소환한다,20,20,적정
fire,spell,겁화,5,2,3,광역,,,1,적 전체에 10 피해 · 내 크리처도 3 피해,10,10,적정
fire,spell,소이탄,6,3,3,요격,,,1,크리처 1개체를 파괴 · 내 크리처 전체 2 피해,—,0,적정
fire,spell,파이어 볼트,1,1,0,단일,,,0,크리처 1개체에 2 피해,2,2,적정
fire,spell,도화선,2,1,1,부여,,,0,내 크리처 1개체에 +5/+0 · 연소 3 부여,4,4,적정
fire,spell,불사조의 깃털,2,1,1,드로우,,,0,내 크리처 1개체를 파괴하고 카드 2장을 뽑는다,3,3,적정
fire,spell,화염 방패,2,1,1,강화,,,0,내 크리처 1개체에 +0/+5 · 연소 2 부여,5,5,적정
fire,spell,파이어볼,3,1,2,광역,,,0,적 전체에 4 피해 · 내 크리처도 4 피해,4,4,적정
fire,spell,불씨 살리기,3,1,2,강화,,,0,내 연소 크리처 전체 HP +2 (최대치 무시),8,8,적정
fire,spell,정령의 불꽃,4,2,2,소환,,,0,내 패를 전부 버리고 버린 수만큼 3/1 용암 정령을 소환한다 · 연소 1 부여,21,21,적정
fire,enchant,연쇄 발화,2,1,1,발동형,3,4,1,내 크리처가 소멸할 때마다 적 1개체에 3 피해,13,12.0,적정
fire,enchant,불의 제단,4,2,2,지속형,2,3,1,내 턴 종료마다 적 전체에 2 피해,25,21.0,여유-4
fire,enchant,고블린 화염포,3,1,2,지속형,3,5,0,내 턴 종료마다 남은 충전 수만큼 무작위 크리처에 1 피해,18,15.0,여유-3
water,creature,여울정령,1,1,0,일반,0,2,2,밀물,2,2,적정
water,creature,파도술사,2,1,1,일반,2,1,2,밀물,5,5,적정
water,creature,산호방벽,2,1,1,수호,1,4,1,—,10,10,적정
water,creature,조수술사,3,1,2,일반,3,4,2,소환 시 내 크리처 1개체를 손으로 회수,10,10,적정
water,creature,해무령,3,1,2,비행,1,4,1,밀물,8,8,적정
water,creature,해류지기,4,2,2,비행,3,3,1,밀물,15,15,적정
water,creature,심해수호,4,2,2,수호,1,8,1,환류,18,18,적정
water,creature,심연룡,5,2,3,비행,5,3,1,밀물,23,23,적정
water,creature,만조의 수호자,5,2,3,수호,3,11,1,환류,28,28,적정
water,creature,소용돌이 정령,5,2,3,일반,7,6,1,밀물,20,20,적정
water,creature,해신,6,3,3,일반,13,8,1,환류 · 밀물,34,34,적정
water,spell,잔물결,1,1,0,바운스,,,1,2코 이하 크리처 1개체를 손으로 되돌린다,—,0,적정
water,spell,환수,2,1,1,드로우,,,1,내 크리처 1개체를 손으로 회수하고 카드 1장을 뽑는다,2,2,적정
water,spell,조류 읽기,3,1,2,드로우,,,1,카드 2장을 뽑는다,3,3,적정
water,spell,역류,3,1,2,바운스,,,1,상대 크리처 1개체를 손으로 되돌린다 (코스트 제한 없음),—,0,적정
water,spell,밀물의 부름,4,2,2,소환,,,1,2/3 물거품 2개체 소환 · 상대 1개체를 손으로,20,20,적정
water,spell,대해일,5,2,3,광역,,,1,적 전체에 8 피해,8,8,적정
water,spell,심연으로,6,3,3,요격,,,1,크리처 1개체를 덱 아래로 보낸다,—,0,적정
water,enchant,해무,2,1,1,지속형,4,3,1,내 턴 종료마다 상대 크리처 1개체 ATK −2,11,12.0,적정
water,enchant,조수의 인장,4,2,2,지속형,4,6,1,내 턴 종료마다 상대에게 4 피해,25,24.0,적정
nature,creature,가시넝쿨,1,1,0,일반,0,3,2,성장 2,3,3,적정
nature,creature,묘목,2,1,1,일반,1,4,1,성장 4,7,6,여유-1
nature,creature,번식체,2,1,1,일반,1,2,2,증식,4,4,적정
nature,creature,숲지기,3,1,2,수호,2,5,2,—,14,14,적정
nature,creature,그리핀,3,1,2,비행,2,4,1,—,12,12,적정
nature,creature,고목,4,2,2,일반,3,11,1,성장 4,18,17,여유-1
nature,creature,포자군체,4,2,2,일반,4,3,1,증식,11,11,적정
nature,creature,대수호자,5,2,3,수호,4,12,1,—,32,32,적정
nature,creature,덩굴군주,5,2,3,관통,7,4,1,성장 3,25,25,적정
nature,creature,숲의 여왕,5,2,3,일반,7,6,1,소환 시 내 크리처 전체 +1/+1,20,20,적정
nature,creature,세계수,6,3,3,일반,14,12,1,성장 4,41,40,여유-1
nature,spell,가시,1,1,0,단일,,,1,크리처 1개체에 2 피해,2,2,적정
nature,spell,가시덩쿨,2,1,1,단일,,,1,크리처 1개체에 4 피해 · 내 크리처가 3개체 이상이면 5,4,4,적정
nature,spell,무성한 수확,3,1,2,드로우,,,1,내 크리처 수만큼 카드를 뽑는다 (최대 2장),3,3,적정
nature,spell,번성,3,1,2,강화,,,1,내 크리처 1개체에 +2/+3,7,7,적정
nature,spell,번식,4,2,2,소환,,,1,2/1 새싹 4개체를 소환한다,20,20,적정
nature,spell,태고의 성장,5,2,3,강화,,,1,내 크리처 1개체에 +3/+7,13,13,적정
nature,spell,포식,6,3,3,요격,,,1,크리처 1개체를 파괴 · 내 크리처 1개체에 +2/+2,—,0,적정
nature,enchant,생명의 샘,2,1,1,지속형,2,5,1,내 턴 종료마다 내 크리처 1개체에 +1/+1,11,10.0,적정
nature,enchant,대지의 축복,4,2,2,발동형,4,7,1,내 크리처가 소환될 때마다 그 크리처에 +1/+2,29,28.0,적정
steel,creature,파수병,1,1,0,수호,0,3,2,—,6,6,적정
steel,creature,방벽병,2,1,1,수호,1,4,2,—,10,10,적정
steel,creature,검사,2,1,1,일반,2,4,1,—,8,8,적정
steel,creature,연마병,3,1,2,일반,3,1,2,연마,7,7,적정
steel,creature,강철수호,3,1,2,수호,1,4,1,경화 1,10,10,적정
steel,creature,중장병,4,2,2,수호,2,7,1,경화 1,18,18,적정
steel,creature,기사,4,2,2,일반,7,6,1,—,20,20,적정
steel,creature,파쇄병,5,2,3,관통,6,7,1,경화 1,25,25,적정
steel,creature,요새병,5,2,3,수호,1,11,1,경화 2,24,24,적정
steel,creature,단조장인,5,2,3,일반,7,7,1,연마,21,21,적정
steel,creature,철벽,6,3,3,수호,5,15,1,경화 2,40,40,적정
steel,spell,쐐기,1,1,0,단일,,,1,크리처 1개체에 2 피해 · 경화를 무시한다,2,2,적정
steel,spell,주조,2,1,1,부여,,,1,내 크리처 1개체에 경화 1을 부여한다,4,4,적정
steel,spell,용해,3,1,2,드로우,,,1,내 크리처 1개체 HP −3 → 카드 2장을 뽑는다,3,3,적정
steel,spell,파쇄,3,1,2,파쇄,,,1,상대 인챈트의 충전을 6 제거한다,6,6,적정
steel,spell,병기 조립,4,2,2,소환,,,1,3/7 수호 크리처 1개체를 소환한다,20,20,적정
steel,spell,강철 폭풍,5,2,3,광역,,,1,적 전체에 8 피해,8,8,적정
steel,spell,분쇄추,6,3,3,요격,,,1,크리처 1개체를 파괴한다,—,0,적정
steel,enchant,강철 의지,2,1,1,발동형,2,6,1,내 크리처가 피해를 받을 때마다 그 개체 HP 2 회복,13,12.0,적정
steel,enchant,병기고,4,2,2,지속형,4,6,1,내 턴 종료마다 내 크리처 1개체에 경화 1,25,24.0,적정
earth,creature,돌덩이,1,1,0,수호,0,3,2,—,6,6,적정
earth,creature,가시병,2,1,1,관통,2,2,2,—,8,8,적정
earth,creature,채석공,2,1,1,일반,2,1,1,진형,5,5,적정
earth,creature,석벽,3,1,2,수호,1,6,2,—,14,14,적정
earth,creature,창병,3,1,2,일반,4,4,1,—,12,12,적정
earth,creature,성문지기,4,2,2,수호,2,7,1,진형,19,18,여유-1
earth,creature,돌파병,4,2,2,관통,6,7,1,육중,25,25,적정
earth,creature,장군,5,2,3,일반,13,11,1,육중,37,37,적정
earth,creature,공성탑,5,2,3,수호,4,10,1,진형,29,28,여유-1
earth,creature,지진술사,5,2,3,관통,5,7,1,소환 시 슬롯 1~3에 각각 2 피해,22,22,적정
earth,creature,공성귀,6,3,3,관통,15,10,1,육중,56,55,여유-1
earth,spell,자갈,1,1,0,단일,,,1,크리처 1개체에 2 피해,2,2,적정
earth,spell,관통 사격,2,1,1,단일,,,1,크리처 1개체에 4 피해 · 경화를 무시한다,4,4,적정
earth,spell,폐허 발굴,3,1,2,드로우,,,1,"내 크리처가 없으면 카드 3장, 있으면 1장",3,3,적정
earth,spell,함몰,3,1,2,광역,,,1,슬롯 1~3번에 각각 3 피해,3,3,적정
earth,spell,축성,4,2,2,강화,,,1,내 크리처 1개체에 +2/+6,10,10,적정
earth,spell,산사태,5,2,3,광역,,,1,적 전체에 8 피해,8,8,적정
earth,spell,매몰,6,3,3,요격,,,1,크리처 1개체를 파괴한다,—,0,적정
earth,enchant,고대 제단,2,1,1,지속형,2,5,1,내 턴 종료마다 상대에게 2 피해,11,10.0,적정
earth,enchant,전열 구축,4,2,2,발동형,3,9,1,상대가 크리처를 소환할 때마다 그 크리처에 3 피해,29,27.0,적정
dark,creature,망령,1,1,0,일반,2,2,2,대가 4,6,6,적정
dark,creature,피의광신도,2,1,1,일반,4,3,2,대가 6,11,11,적정
dark,creature,흡혈박쥐,2,1,1,비행,1,3,1,흡혈,7,7,적정
dark,creature,흑기사,3,1,2,관통,4,3,2,대가 6,15,15,적정
dark,creature,흡혈귀,3,1,2,일반,2,7,1,흡혈,11,11,적정
dark,creature,그림자 습격자,4,2,2,비행,4,7,1,대가 6,23,23,적정
dark,creature,시체 수확자,4,2,2,일반,9,6,1,대가 8,24,24,적정
dark,creature,피의 군주,5,2,3,일반,9,10,1,흡혈 · 대가 8,28,28,적정
dark,creature,어둠의 수호,5,2,3,수호,4,14,1,대가 8,36,36,적정
dark,creature,심연의 사제,5,2,3,일반,8,9,1,대가 6 · 흡혈,25,25,적정
dark,creature,파괴자,6,3,3,일반,16,13,1,—,45,45,적정
dark,spell,피의 못,1,1,0,단일,,,1,내 HP 8 지불 → 크리처 1개체에 4 피해,4,4,적정
dark,spell,피의 계약,2,1,1,단일,,,1,내 HP 8 지불 → 크리처 1개체에 5 피해,5,5,적정
dark,spell,금단의 지식,3,1,2,드로우,,,1,내 HP 14 지불 → 카드 3장을 뽑는다,5,5,적정
dark,spell,어둠의 부름,3,1,2,소환,,,1,내 HP 8 지불 → 2/4 망령 2개체를 소환,16,16,적정
dark,spell,죽음의 계약,4,2,2,소환,,,1,내 HP 8 지불 → 3/6 망자 2개체를 소환,24,24,적정
dark,spell,흡혈 파도,5,2,3,광역,,,1,적 전체에 8 피해 · 처치한 수만큼 내 HP 4 회복,8,8,적정
dark,spell,잠식,6,3,3,요격,,,1,크리처 1개체를 파괴한다,—,0,적정
dark,enchant,흡혈 의식,2,1,1,발동형,3,4,1,내 크리처가 소멸할 때마다 내 HP 3 회복,13,12.0,적정
dark,enchant,피의 성배,4,2,2,발동형,3,9,1,내가 HP를 지불할 때마다 적 1개체에 3 피해,29,27.0,적정
light,creature,빛의 시종,1,1,0,일반,0,2,2,축복 4,2,2,적정
light,creature,성전사,2,1,1,수호,1,4,2,—,10,10,적정
light,creature,사제,2,1,1,일반,1,2,1,축복 8,4,4,적정
light,creature,치유사,3,1,2,일반,2,4,2,축복 8,8,8,적정
light,creature,빛의 매,3,1,2,비행,2,4,1,—,12,12,적정
light,creature,수호천사,4,2,2,수호,1,7,1,가호,17,16,여유-1
light,creature,성직기사,4,2,2,일반,5,6,1,축복 8,16,16,적정
light,creature,천공수호,5,2,3,비행수호,4,8,1,—,32,32,적정
light,creature,성기사,5,2,3,비행수호,4,6,1,축복 8,28,28,적정
light,creature,심판자,5,2,3,관통,5,6,1,가호,21,21,적정
light,creature,대천사,6,3,3,비행,8,7,1,가호,40,39,여유-1
light,spell,정화의 빛,1,1,0,단일,,,1,크리처 1개체에 2 피해,2,2,적정
light,spell,성수,2,1,1,회복,,,1,내 HP 8을 회복한다,8,8,적정
light,spell,계시,3,1,2,드로우,,,1,카드 2장을 뽑는다,3,3,적정
light,spell,가호의 빛,3,1,2,부여,,,1,내 크리처 1개체에 가호를 부여한다,6,6,적정
light,spell,성광,4,2,2,회복,,,1,내 HP 18을 회복한다,18,18,적정
light,spell,천벌,5,2,3,광역,,,1,적 전체에 8 피해,8,8,적정
light,spell,심판,6,3,3,요격,,,1,크리처 1개체를 파괴 · 내 HP 8 회복,—,0,적정
light,enchant,빛의 장막,2,1,1,발동형,3,4,1,내 크리처가 소환될 때마다 내 HP 3 회복,13,12.0,적정
light,enchant,성화,4,2,2,지속형,4,6,1,내 턴 종료마다 내 HP 4 회복,25,24.0,적정
